Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"tap(findTestObject(""Object Repository/page_Category/android.widget.btn_Update""), 0)",,,,14-09-2024 12:37:10,14-09-2024 12:37:11,0.672s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/page_Category/android.widget.lbl_Category""), 0)",,,,14-09-2024 12:37:11,14-09-2024 12:37:12,1.344s,PASSED
"verifyElementText(findTestObject(""Object Repository/page_Category/android.widget.TextView - Diri Sendiri""), updateCategory)",,,,14-09-2024 12:37:12,14-09-2024 12:37:13,0.446s,PASSED
closeApplication(),,,,14-09-2024 12:37:13,14-09-2024 12:37:16,3.498s,PASSED
,,,,,,,
Test Cases/Category/Delete Category,,,,14-09-2024 12:37:16,14-09-2024 12:38:02,45.960s,PASSED
"startApplication(apk, true)",,,,14-09-2024 12:37:16,14-09-2024 12:37:47,31.008s,PASSED
"tap(findTestObject(""page_Dashboard/android.widget.TextView - Skip""), 0)",,,,14-09-2024 12:37:47,14-09-2024 12:37:50,2.565s,PASSED
"verifyElementVisible(findTestObject(""page_Dashboard/android.widget.lbl_ToDo""), 0)",,,,14-09-2024 12:37:50,14-09-2024 12:37:51,1.089s,PASSED
"tap(findTestObject(""page_Dashboard/android.widget.button-Menu""), 0)",,,,14-09-2024 12:37:51,14-09-2024 12:37:51,0.204s,PASSED
"tap(findTestObject(""page_Category/android.widget.menu-Category""), 0)",,,,14-09-2024 12:37:51,14-09-2024 12:37:53,1.884s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/page_Category/android.widget.lbl_Category""), 0)",,,,14-09-2024 12:37:53,14-09-2024 12:37:55,1.932s,PASSED
"tap(findTestObject(""Object Repository/page_Category/android.widget.btn_Delete""), 0)",,,,14-09-2024 12:37:55,14-09-2024 12:37:56,0.957s,PASSED
"tap(findTestObject(""Object Repository/page_Category/android.widget.btn-Confirm-Delete""), 0)",,,,14-09-2024 12:37:56,14-09-2024 12:37:58,2.380s,PASSED
closeApplication(),,,,14-09-2024 12:37:58,14-09-2024 12:38:02,3.665s,PASSED
